"QuestionSet","Part","PartTitle","SectionPoints","QuestionNumber","QuestionText","OptionA","OptionB","OptionC","CorrectOption","CorrectAnswer"
"Basic Assessment","Part A","English","20","146","Which word rhymes with bell?","Shell","Book","Tree","A","Shell"
"Basic Assessment","Part A","English","20","147","Which one is a vegetable?","Cabbage","Banana","Mango","A","Cabbage"
"Basic Assessment","Part A","English","20","148","Which one is an insect?","Butterfly","Dog","Fish","A","Butterfly"
"Basic Assessment","Part A","English","20","149","Which word is a color?","Purple","Banana","Grape","A","Purple"
"Basic Assessment","Part A","English","20","150","Opposite of young is ___.","Old","Small","Fast","A","Old"
"Basic Assessment","Part A","English","20","151","Opposite of day is ___.","Night","Morning","Noon","A","Night"
"Basic Assessment","Part A","English","20","152","Which letter comes after G?","H","I","F","A","H"
"Basic Assessment","Part A","English","20","153","Which letter comes before V?","U","T","W","A","U"
"Basic Assessment","Part A","English","20","154","Read the story: ""Emma and her brother Sam planted tomato seeds in their backyard. They watered the plants every morning. After a few weeks, the plants grew flowers, and later they picked fresh tomatoes to make a salad."" What did Emma and Sam plant?","Tomato seeds","Mango seeds","Flower seeds","A","Tomato seeds"
"Basic Assessment","Part A","English","20","155","Read the story: ""Emma and her brother Sam planted tomato seeds in their backyard. They watered the plants every morning. After a few weeks, the plants grew flowers, and later they picked fresh tomatoes to make a salad."" Where did they plant the seeds?","In their backyard","In a pot","At school","A","In their backyard"
"Basic Assessment","Part A","English","20","156","Read the story: ""Emma and her brother Sam planted tomato seeds in their backyard. They watered the plants every morning. After a few weeks, the plants grew flowers, and later they picked fresh tomatoes to make a salad."" When did they water the plants?","Every morning","Every night","Every afternoon","A","Every morning"
"Basic Assessment","Part A","English","20","157","Read the story: ""Emma and her brother Sam planted tomato seeds in their backyard. They watered the plants every morning. After a few weeks, the plants grew flowers, and later they picked fresh tomatoes to make a salad."" What grew before the tomatoes?","Flowers","Apples","Leaves only","A","Flowers"
"Basic Assessment","Part A","English","20","158","Read the story: ""Emma and her brother Sam planted tomato seeds in their backyard. They watered the plants every morning. After a few weeks, the plants grew flowers, and later they picked fresh tomatoes to make a salad."" What did they make with the tomatoes?","A salad","A pie","Juice","A","A salad"
"Basic Assessment","Part A","English","20","159","Which sentence is correct?","She is reading a book.","She reading is book.","Is she reading book.","A","She is reading a book."
"Basic Assessment","Part A","English","20","160","Fill in the blank. The fish can _____.","Swim","Fly","Climb trees","A","Swim"
"Basic Assessment","Part A","English","20","161","Which word starts with R?","Rabbit","Monkey","Tiger","A","Rabbit"
"Basic Assessment","Part A","English","20","162","Which is used for eating soup?","Spoon","Pillow","Shoe","A","Spoon"
"Basic Assessment","Part A","English","20","163","Which one is a number?","Twelve","Table","Turtle","A","Twelve"
"Basic Assessment","Part A","English","20","164","Which place helps sick people?","Hospital","Playground","Market","A","Hospital"
"Basic Assessment","Part B","Mathematics","18","165","Count: ⭐⭐⭐⭐⭐⭐⭐⭐⭐ How many stars?","9","8","10","A","9"
"Basic Assessment","Part B","Mathematics","18","166","Which number is greater? 25 or 18","25","18","","A","25"
"Basic Assessment","Part B","Mathematics","18","167","What is 9 + 8?","17","16","18","A","17"
"Basic Assessment","Part B","Mathematics","18","168","What is 16 − 7?","9","8","10","A","9"
"Basic Assessment","Part B","Mathematics","18","169","Fill in the missing number. 24, 25, 26, __","27","26","28","A","27"
"Basic Assessment","Part B","Mathematics","18","170","Which number comes before 40?","39","38","41","A","39"
"Basic Assessment","Part B","Mathematics","18","171","Count by fives. 10, 15, 20, __","25","20","30","A","25"
"Basic Assessment","Part B","Mathematics","18","172","Which is the smallest number? 31, 19, 24","19","31","24","A","19"
"Basic Assessment","Part B","Mathematics","18","173","Which shape has three corners?","Triangle","Circle","Square","A","Triangle"
"Basic Assessment","Part B","Mathematics","18","174","Which object is shaped like a sphere?","A ball","A book","A box","A","A ball"
"Basic Assessment","Part B","Mathematics","18","175","Which is heavier?","A table","A pencil","","A","A table"
"Basic Assessment","Part B","Mathematics","18","176","Which is longer?","A rope","A ribbon","","A","A rope"
"Basic Assessment","Part B","Mathematics","18","177","Mia has 8 balloons. She receives 6 more. How many balloons does she have now?","14","13","15","A","14"
"Basic Assessment","Part B","Mathematics","18","178","There are 15 cookies. 5 are eaten. How many are left?","10","9","11","A","10"
"Basic Assessment","Part B","Mathematics","18","179","Count: 🍌🍌🍌🍌🍌🍌🍌🍌 How many bananas?","8","7","9","A","8"
"Basic Assessment","Part B","Mathematics","18","180","Which number is even? 27, 32, 35","32","27","35","A","32"
"Basic Assessment","Part B","Mathematics","18","181","What comes next? 40, 39, 38, __","37","36","38","A","37"
"Basic Assessment","Part B","Mathematics","18","182","Which is taller?","A coconut tree","A bush","","A","A coconut tree"
"Basic Assessment","Part C","Logic and Patterns","9","183","Complete the pattern. ■ ▲ ■ ▲ ■ __","▲","■","","A","▲"
"Basic Assessment","Part C","Logic and Patterns","9","184","Complete the pattern. 🍎 🍌 🍇 🍎 🍌 🍇 🍎 __","🍌","🍎","🍇","A","🍌"
"Basic Assessment","Part C","Logic and Patterns","9","185","Which one does NOT belong?","Carrot","Apple","Banana","A","Carrot"
"Basic Assessment","Part C","Logic and Patterns","9","186","Bird is to Nest. Dog is to ___.","Kennel","Pond","Tree","A","Kennel"
"Basic Assessment","Part C","Logic and Patterns","9","187","Which comes after Thursday?","Friday","Wednesday","Saturday","A","Friday"
"Basic Assessment","Part C","Logic and Patterns","9","188","Which is the tallest?","🌴 Palm tree","🌼 Flower","🌿 Grass","A","🌴 Palm tree"
"Basic Assessment","Part C","Logic and Patterns","9","189","Which animal lives in water?","Fish","Cat","Horse","A","Fish"
"Basic Assessment","Part C","Logic and Patterns","9","190","Complete the pattern. ❤️ ⭐ ❤️ ⭐ ❤️ __","⭐","❤️","▲","A","⭐"
"Basic Assessment","Part C","Logic and Patterns","9","191","Which picture is different?","🍎","✈️","🚗","A","🍎"
"Basic Assessment","Part D","General Knowledge","10","192","Which part of the plant carries water from the roots to the leaves?","Stem","Flower","Fruit","A","Stem"
"Basic Assessment","Part D","General Knowledge","10","193","Which body part helps us smell?","Nose","Eyes","Hands","A","Nose"
"Basic Assessment","Part D","General Knowledge","10","194","Which animal is a reptile?","Snake","Dog","Chicken","A","Snake"
"Basic Assessment","Part D","General Knowledge","10","195","Which season often has strong sunshine in the Philippines?","Dry season","Rainy season","","A","Dry season"
"Basic Assessment","Part D","General Knowledge","10","196","Which object floats on water?","A wooden stick","A coin","A stone","A","A wooden stick"
"Basic Assessment","Part D","General Knowledge","10","197","Which body part helps us hear?","Ears","Mouth","Eyes","A","Ears"
"Basic Assessment","Part D","General Knowledge","10","198","Which object is attracted to a magnet?","A metal paper clip","A plastic ruler","A rubber ball","A","A metal paper clip"
"Basic Assessment","Part D","General Knowledge","10","199","Which is a healthy habit?","Eating vegetables","Eating candy all day","Sleeping very late every night","A","Eating vegetables"
"Basic Assessment","Part D","General Knowledge","10","200","Which is the main source of light during the day?","Sun","Moon","Lamp","A","Sun"
"Basic Assessment","Part D","General Knowledge","10","201","Which is a living thing?","Frog","Toy car","Rock","A","Frog"
